title,published_date,position,video_id,duration,view_count,like_count,comment_count
IMPOSICIONES RELIGIOSAS,2022-05-06T10:45:04Z,0,hqgU_hHBucw,0:09:52,5631,129,7
Lo que tu FAMILIA espera de TI,2022-05-05T10:45:02Z,1,kI7hfX9E6nM,0:09:51,5379,134,6
La sección más ARTE de PATRICIA ESPEJO,2022-05-04T10:45:01Z,2,QX8V7OY-33M,0:11:52,7537,316,14
TODAS caemos en PREJUICIOS y CLICHÉS RACIALES,2022-05-03T10:45:01Z,3,5PqkOi7MRs4,0:11:44,6898,188,2
QUAN ZHOU lo dejó TODO para VIVIR VIAJANDO,2022-05-02T10:45:01Z,4,OSjn5ic_zY4,0:04:55,6309,130,2
VER MUNDO Y ESTEREOTIPOS INFECTOS con QUAN ZHOU | Estirando el chicle 4x28,2022-05-01T11:00:11Z,5,--GclAWZGUU,0:59:44,187665,7390,299
"MÓNICA NARANJO, la DIVA DEFINITIVA",2022-04-29T10:45:01Z,6,qpIXHcBp728,0:07:45,5726,146,8
MÓNICA NARANJO saldría con CAROLINA IGLESIAS,2022-04-28T10:45:00Z,7,MCHUwky8IsQ,0:09:12,22486,587,22
"El EGO te lleva lejos, pero también te DEJA SOLO",2022-04-27T10:45:01Z,8,W91i_iK2HzE,0:10:25,5922,182,12
"HENAR ÁLVAREZ no fallece, ella ABASTECE",2022-04-26T10:45:04Z,9,xyrn9NPHO-A,0:13:43,24017,644,26
El PODER es no tener MIEDO A NADA,2022-04-25T17:00:15Z,10,S-PhwBVLoDI,0:06:47,6452,216,10
MÓNICA NARANJO siempre supo que SU VIDA era la MÚSICA,2022-04-25T10:45:00Z,11,E3LFoEwUO_A,0:09:26,5729,185,7
DIOSAS Y PODEROSAS con MÓNICA NARANJO | Estirando el chicle 4x27,2022-04-24T11:00:29Z,12,mcJqPloHlEk,1:07:14,306036,12380,711
¿Hay ALGO después de LA MUERTE?,2022-04-17T11:00:07Z,13,MjDftnp0ors,0:11:16,9291,173,15
La experiencia de HENAR ÁLVAREZ en FLORENCIA,2022-04-14T10:45:00Z,14,IAjWfVUmnIE,0:16:14,32802,587,11
Hay que INVERTIR más en SALUD MENTAL,2022-04-13T10:45:00Z,15,57m5wYATH2I,0:15:18,4820,137,4
REÍRSE de ABSOLUTAMENTE TODO,2022-04-12T10:45:02Z,16,M5SIBgTzoh4,0:10:48,8535,200,6
A CARMEN ROMERO no le gusta la ADRENALINA,2022-04-11T10:45:00Z,17,30I54MTGL1M,0:12:19,6734,128,1
MIEDO A CASCAR con CARMEN ROMERO | Estirando el chicle 4x26,2022-04-10T11:00:29Z,18,L6Gmy6WRADI,1:17:28,226675,6732,306
El paso de AMOR por GRAN HERMANO,2022-04-08T10:45:00Z,19,0dsf1kl_kRk,0:09:38,11358,202,9
AMOR ROMEIRA ya era COTILLA de PEQUEÑA,2022-04-07T10:45:02Z,20,bXOMKs4_2EU,0:09:08,4964,104,3
El APOYO de la FAMILIA de AMOR ROMEIRA,2022-04-06T10:45:00Z,21,4D4qi68mXG4,0:08:39,6318,232,10
El ABRIGO de VICTORIA huele a PIS,2022-04-05T10:30:02Z,22,ENMfxI1D5jE,0:12:34,11372,308,12
"LALA CHUS, la MÁS COTILLA de su COLEGIO",2022-04-04T09:45:01Z,23,Q3olJUAieTQ,0:08:51,13016,302,13
COTILLA SE NACE con AMOR ROMEIRA | Estirando el chicle 4x25,2022-04-03T11:00:12Z,24,DuFW83stnVQ,1:04:56,242849,8838,444
INGRID GARCÍA-JONSSON ha hecho de DOBLE de CAMERON DÍAZ,2022-04-01T09:45:02Z,25,ZU8MY47FpWk,0:10:10,7180,139,1
TRUCOS para ser un FAMOSO PREMIUM,2022-03-31T10:45:02Z,26,gl-fE5ujrEo,0:14:47,4490,98,3
La CURA DE HUMILDAD de HENAR ÁLVAREZ en el FESTIVAL DE MÁLAGA,2022-03-30T10:45:01Z,27,13PVgiXeybs,0:16:14,20025,496,14
Cuando ÁNGELES de CAMELA le pidió una foto a CAROLINA IGLESIAS,2022-03-29T10:45:01Z,28,D1ZM9yI6GHA,0:08:17,6917,162,2
Las BRAGAS de INGRID GARCÍA-JONSSON,2022-03-28T09:45:00Z,29,J729sqeT6Cs,0:11:07,7410,153,3
FAMOSAS POR SER GUAPAS con INGRID GARCÍA-JONSSON | Estirando el chicle 4x24,2022-03-27T11:00:25Z,30,kSvM2rvbgtc,1:09:46,248677,8076,279
"CHICAS, dejemos de FINGIR cuando NO ESTAMOS DISFRUTANDO",2022-03-25T11:45:01Z,31,08m6vye2UCM,0:11:41,13512,290,23
ZAHARA lo comparte TODO en su MÚSICA,2022-03-24T10:45:01Z,32,xtYkkN4zqog,0:10:20,5831,99,6
Lo IMPORTANTE que es HABLAR de RELACIONES con LAS AMIGAS,2022-03-23T10:45:01Z,33,s_X3ftOcTtQ,0:14:19,10484,248,8
HENAR ÁLVAREZ quiere EUROS Y PRESTIGIO,2022-03-22T10:45:01Z,34,J2HJU7343rg,0:11:58,58529,1142,66
Lo que más PLACER nos da DEL MUNDO,2022-03-21T12:45:02Z,35,cmjn7PUmph4,0:08:50,11871,237,4
TOCARSE LA PEPA con ZAHARA | Estirando el chicle 4x23,2022-03-20T12:00:11Z,36,K0iLBzF4T7E,1:09:57,270609,9503,375
Las aventuras del PADRE DE LALA CHUS en el HOSPITAL,2022-03-18T11:45:02Z,37,Z2AGbljVX6g,0:17:24,16112,471,15
SE TERMINAN LOS SHOWS DE TEATRO | ESTIRANDO EL CHICLE LIVE,2022-03-17T16:00:11Z,38,l8gg2ojXwn0,0:03:54,92069,4874,463
SUSANA RODRÍGUEZ es MÉDICA además de CAMPEONA DE TRIATLÓN,2022-03-17T11:45:04Z,39,xX3oVvZmdNw,0:09:54,4414,101,0
Los SACRIFICIOS de SUSANA RODRÍGUEZ para llegar a la ÉLITE del DEPORTE,2022-03-16T11:45:01Z,40,SMyiCKOCDJo,0:13:54,5111,119,1
"A SUSANA le gusta el DEPORTE, a NOSOTRAS NO",2022-03-15T11:45:06Z,41,u_7OIwQJ6fs,0:12:15,7981,166,4
SALTO AL POTRO Y SENTADILLAS con SUSANA RODRÍGUEZ | Estirando el chicle 4x22,2022-03-13T12:00:09Z,42,3r7JTjVfyrc,1:04:53,192389,7319,345
Cuál es nuestra SPICE GIRL FAVORITA,2022-03-11T11:45:01Z,43,_MT9Evu0ht0,0:08:56,8768,195,7
La obsesión de LALA CHUS por las TELENOVELAS,2022-03-10T11:45:02Z,44,peYW1kfZWeA,0:12:23,20450,491,8
Nuestros MOMENTOS de FAN más LAMENTABLES,2022-03-09T10:45:01Z,45,uHth8CCSaEs,0:09:31,8591,186,0
La colección de FUNKOS de EDURNE,2022-03-08T17:30:04Z,46,biBcMO9f7j8,0:06:32,6481,167,21
EDURNE cantaba la canción de YO SOY BEA y fue a EUROVISIÓN,2022-03-08T11:45:00Z,47,M1CSXxq21zg,0:15:03,11980,226,9
VICTORIA MARTÍN no puede entrar en un CASINO,2022-03-07T10:45:02Z,48,qb54ZXrrNyw,0:10:54,18004,318,8
SER FRIKIS con EDURNE | Estirando el chicle 4x21,2022-03-06T12:00:15Z,49,rnkCy8g57wQ,1:16:14,267270,8155,277
La DECISIÓN de SOFÍA CRISTO de PARAR,2022-03-04T11:45:02Z,50,_Wc98YTrcVg,0:11:25,6884,124,9
A PATRICIA ESPEJO se le olvidó el gesto de TRAGAR,2022-03-03T11:45:01Z,51,Y4r8lyN4jdQ,0:13:39,9986,236,11
VIVIR de la NOCHE,2022-03-02T10:45:00Z,52,O3a__4DTgwc,0:08:50,7296,143,0
El proceso de RECUPERACIÓN de SOFÍA CRISTO,2022-03-01T10:45:00Z,53,CgNXJV89ngg,0:09:44,9358,188,6
VIVIR o MORIR con SOFÍA CRISTO | Estirando el chicle 4x20,2022-02-27T12:00:11Z,54,W7UTzrvCMnU,1:00:17,213255,6879,399
La INFANCIA nos marca PARA SIEMPRE,2022-02-25T11:45:01Z,55,LhTK4LIG6xY,0:09:44,7918,199,4
DIETAS ABSURDAS y RETIROS ESPIRITUALES,2022-02-24T17:45:01Z,56,aTyfORpNPYM,0:12:00,9343,248,11
PATRICIA ESPEJO era una niña ADORABLE,2022-02-24T11:45:00Z,57,EpYA_wiSLR8,0:20:21,24855,874,37
El PEAJE que pagamos por NUESTRO PESO,2022-02-23T11:45:02Z,58,H74I3cK8USU,0:12:03,9256,292,9
REFERENTES de la INFANCIA,2022-02-22T11:45:04Z,59,nPcl5ZzXCcY,0:09:29,7450,174,5
HAMBRE EMOCIONAL con MARA JIMÉNEZ (CROQUETAMENTE) | Estirando el chicle 4x19,2022-02-20T12:00:10Z,60,RtSyvivkBko,1:16:56,289085,11019,562
KARINA debería ser MILLONARIA,2022-02-18T10:45:00Z,61,Tb2CrkcPaLc,0:13:11,7201,228,8
KARINA ha viajado por TODO EL MUNDO,2022-02-17T10:45:02Z,62,V75EholAzsE,0:11:31,3942,103,5
La madre de LALA CHUS se encontró con KARINA en misa,2022-02-16T18:00:33Z,63,pr7xGUL4Rkk,0:07:26,8124,229,7
KARINA ganó a LOS BEATLES en las listas de ventas,2022-02-16T11:45:04Z,64,hQ2LMMac-xM,0:09:44,2744,116,7
Como KARINA esquivaba situaciones INCÓMODAS en los años 60,2022-02-15T11:45:02Z,65,bZVXH5Ror3w,0:17:00,8890,260,17
